Name,Sum,S_M,S_F,Household,H_M,H_F,0-14,15-64,65+,Local
河南省,94029939,47493063,46536876,25928729,45262137,44765935,19747318,66423277,7859344,83362187
郑州市,8627089,4422318,4204771,2436665,3881162,3786594,1380098,6629356,617635,5860380
中原区,905491,465346,440145,275145,386530,382848,124835,714416,66240,482205
林山寨街道,65218,35503,29715,17106,24325,25554,7670,50944,6604,42208
建设路街道,37467,18550,18917,9478,12983,13687,3790,30249,3428,22681
棉纺路街道,36935,17564,19371,13399,17497,19060,3476,27088,6371,29762
秦岭路街道,31619,15579,16040,11762,15015,15891,3702,23645,4272,20130
桐柏路街道,88652,44603,44049,31187,43371,43642,14354,66988,7310,52346
三官庙街道,54551,26950,27601,18378,24912,25578,7281,42033,5237,31965
绿东村街道,62768,31844,30924,21063,28482,29111,8652,47486,6630,36418
汝河路街道,91082,45844,45238,33169,44162,44273,14146,70177,6759,47093
航海西路街道,72227,37263,34964,25681,33670,30969,12055,57847,2325,21849
中原西路街道,34011,17672,16339,25681,16913,15729,5056,27038,1917,13962
西流湖街道,80091,41941,38150,21520,32091,30277,12056,64230,3805,31757
须水街道,44254,22683,21571,10798,18779,18538,6196,34970,3088,29772
石佛镇,153322,82941,70381,35112,50620,46120,17590,131101,4631,57839
沟赵乡,53294,26409,26885,13226,23710,24419,8811,40620,3863,44423
二七区,712646,363265,349381,209512,296408,299515,95875,565784,50987,376353
淮河路街道,53884,26359,27525,17526,24693,25112,7294,41821,4769,35183
解放路街道,469,277,192,138,178,156,53,384,32,142
铭功路街道,23390,11741,11649,8318,11202,11260,3369,18223,1798,10321
一马路街道,3522,1806,1716,913,1152,1203,278,2913,331,1060
蜜蜂张街道,25443,12574,12869,8423,11679,12159,2891,19490,3062,18180
五里堡街道,61176,29086,32090,22298,27532,30148,7773,47080,6323,40413
大学路街道,55100,27354,27746,16327,22082,23791,6307,42986,5807,35538
建中街街道,69861,34503,35358,21500,29558,30957,8685,54804,6372,41623
福华街街道,69625,34543,35082,24785,34335,34943,8983,52984,7658,46521
德化街街道,3641,1792,1849,1237,1611,1671,482,2959,200,1078
嵩山路街道,74553,38180,36373,23540,34504,33627,13503,57375,3675,34609
京广路街道,58229,29633,28596,12291,18349,18139,7054,49083,2092,18471
长江路街道,83051,43097,39954,29748,36178,34459,12643,67971,2437,21409
马寨镇,46687,24440,22247,6802,12849,12499,4434,40060,2193,21901
侯寨乡,84015,47880,36135,15666,30506,29391,12126,67651,4238,49904
管城回族区,645932,336548,309384,198660,293557,285087,107130,502640,36162,313391
北下街街道,32705,16228,16477,10755,14045,15105,3935,26154,2616,17061
西大街街道,22878,11252,11626,7616,10284,10516,3388,17991,1499,9569
南关街道,57487,27697,29790,19836,26287,27269,8199,45732,3556,24200
城东路街道,36604,17811,18793,12849,16987,18250,5637,28284,2683,18295
东大街街道,33493,16782,16711,11085,14222,14640,4454,26549,2490,15019
二里岗街道,40750,20821,19929,14646,19867,19309,6464,31786,2500,19072
陇海马路街道,48899,23934,24965,16656,23142,24102,7055,37528,4316,29274
紫荆山南路街道,73092,37706,35386,24002,35966,34174,13703,55926,3463,25255
航海东路街道,51970,25420,26550,16577,23957,23810,9912,40488,1570,25097
十八里河镇,47463,26147,21316,13030,22063,19137,8547,36746,2170,26132
南曹乡,40825,21510,19315,10187,19954,18631,8441,29670,2714,31751
圃田乡,55131,32825,22306,13271,22279,20353,9495,43514,2122,20013
经济开发区明湖街道,66086,37647,28439,20204,27068,23281,9824,54511,1751,20420
经济开发区潮河街道,20779,11028,9751,4315,9424,9094,4416,14868,1495,17639
京航街道,17770,9740,8030,3631,8012,7416,3660,12893,1217,14594
金水区,1588716,813096,775620,529454,652722,636915,201034,1304661,83021,692081
